tanggal,provinsi,total_kasus,sembuh_harian,kasus_harian,net_harian
2020-03-21,Aceh,0,0,0,0
2020-03-22,Aceh,0,0,0,0
2020-03-23,Aceh,0,0,0,0
2020-03-24,Aceh,0,0,0,0
2020-03-25,Aceh,0,0,0,0
2020-03-26,Aceh,1,0,1,1
2020-03-27,Aceh,4,0,3,3
2020-03-28,Aceh,4,0,0,0
2020-03-29,Aceh,5,0,0,0
2020-03-30,Aceh,5,0,0,0
2020-03-31,Aceh,5,0,0,0
2020-04-01,Aceh,5,0,0,0
2020-04-02,Aceh,5,0,0,0
2020-04-03,Aceh,5,0,0,0
2020-04-04,Aceh,4,0,0,0
2020-04-05,Aceh,4,0,0,0
2020-04-06,Aceh,4,0,0,0
2020-04-07,Aceh,4,0,0,0
2020-04-08,Aceh,5,0,1,1
2020-04-09,Aceh,4,1,0,-1
2020-04-10,Aceh,3,0,0,0
2020-04-11,Aceh,3,0,0,0
2020-04-12,Aceh,3,0,0,0
2020-04-13,Aceh,0,3,0,-3
2020-04-14,Aceh,0,0,0,0
2020-04-15,Aceh,0,0,0,0
2020-04-16,Aceh,0,0,0,0
2020-04-17,Aceh,0,0,0,0
2020-04-18,Aceh,1,0,1,1
2020-04-19,Aceh,2,0,1,1
2020-04-20,Aceh,2,0,0,0
2020-04-21,Aceh,2,0,0,0
2020-04-22,Aceh,2,0,0,0
2020-04-23,Aceh,2,0,0,0
2020-04-24,Aceh,3,0,1,1
2020-04-25,Aceh,4,0,1,1
2020-04-26,Aceh,4,0,0,0
2020-04-27,Aceh,4,0,0,0
2020-04-28,Aceh,4,0,0,0
2020-04-29,Aceh,4,0,0,0
2020-04-30,Aceh,5,0,1,1
2020-05-01,Aceh,6,0,1,1
2020-05-02,Aceh,4,2,0,-2
2020-05-03,Aceh,5,0,1,1
2020-05-04,Aceh,4,1,0,-1
2020-05-05,Aceh,4,0,0,0
2020-05-06,Aceh,9,0,5,5
2020-05-07,Aceh,9,0,0,0
2020-05-08,Aceh,5,4,0,-4
2020-05-09,Aceh,5,0,0,0
2020-05-10,Aceh,5,0,0,0
2020-05-11,Aceh,5,0,0,0
2020-05-12,Aceh,4,1,0,-1
2020-05-13,Aceh,4,0,0,0
2020-05-14,Aceh,3,1,0,-1
2020-05-15,Aceh,3,0,0,0
2020-05-16,Aceh,2,2,1,-1
2020-05-17,Aceh,2,0,0,0
2020-05-18,Aceh,2,0,0,0
2020-05-19,Aceh,2,0,0,0
2020-05-20,Aceh,2,0,0,0
2020-05-21,Aceh,2,0,0,0
2020-05-22,Aceh,3,0,1,1
2020-05-23,Aceh,1,2,0,-2
2020-05-24,Aceh,1,0,0,0
2020-05-25,Aceh,1,0,0,0
2020-05-26,Aceh,1,0,0,0
2020-05-27,Aceh,1,0,0,0
2020-05-28,Aceh,2,0,1,1
2020-05-29,Aceh,2,0,0,0
2020-05-30,Aceh,2,0,0,0
2020-05-31,Aceh,2,0,0,0
2020-06-01,Aceh,2,0,0,0
2020-06-02,Aceh,2,0,0,0
2020-06-03,Aceh,2,0,0,0
2020-06-04,Aceh,1,1,0,-1
2020-06-05,Aceh,1,0,0,0
2020-06-06,Aceh,1,0,0,0
2020-06-07,Aceh,1,0,0,0
2020-06-08,Aceh,1,0,0,0
2020-06-09,Aceh,1,0,0,0
2020-06-10,Aceh,3,0,2,2
2020-06-11,Aceh,3,0,0,0
2020-06-12,Aceh,3,0,0,0
2020-06-13,Aceh,2,1,0,-1
2020-06-14,Aceh,7,0,5,5
2020-06-15,Aceh,7,0,0,0
2020-06-16,Aceh,6,1,0,-1
2020-06-17,Aceh,15,0,10,10
2020-06-18,Aceh,16,0,1,1
2020-06-19,Aceh,16,0,0,0
2020-06-20,Aceh,17,0,1,1
2020-06-21,Aceh,27,0,10,10
2020-06-22,Aceh,27,0,0,0
2020-06-23,Aceh,27,0,0,0
2020-06-24,Aceh,31,0,4,4
2020-06-25,Aceh,44,0,13,13
2020-06-26,Aceh,47,0,3,3
2020-06-27,Aceh,53,2,8,6
2020-06-28,Aceh,52,3,2,-1
2020-06-29,Aceh,52,0,0,0
2020-06-30,Aceh,51,1,1,0
2020-07-01,Aceh,52,5,6,1
2020-07-02,Aceh,52,0,0,0
2020-07-03,Aceh,53,0,1,1
2020-07-04,Aceh,53,0,0,0
2020-07-05,Aceh,53,0,0,0
2020-07-06,Aceh,44,9,0,-9
2020-07-07,Aceh,43,2,1,-1
2020-07-08,Aceh,35,9,1,-8
2020-07-09,Aceh,33,3,1,-2
2020-07-10,Aceh,28,5,0,-5
2020-07-11,Aceh,33,4,9,5
2020-07-12,Aceh,39,0,7,7
2020-07-13,Aceh,39,0,0,0
2020-07-14,Aceh,41,1,4,3
2020-07-15,Aceh,66,0,27,27
2020-07-16,Aceh,67,1,3,2
2020-07-17,Aceh,72,0,5,5
2020-07-18,Aceh,72,0,0,0
2020-07-19,Aceh,72,0,1,1
2020-07-20,Aceh,74,0,2,2
2020-07-21,Aceh,70,5,1,-4
2020-07-22,Aceh,67,5,2,-3
2020-07-23,Aceh,71,2,7,5
2020-07-24,Aceh,63,12,4,-8
2020-07-25,Aceh,67,2,6,4
2020-07-26,Aceh,67,0,0,0
2020-07-27,Aceh,67,0,0,0
2020-07-28,Aceh,92,0,25,25
2020-07-29,Aceh,135,0,45,45
2020-07-30,Aceh,209,0,74,74
2020-07-31,Aceh,312,0,103,103
2020-08-01,Aceh,312,0,0,0
2020-08-02,Aceh,325,0,16,16
2020-08-03,Aceh,325,0,2,2
2020-08-04,Aceh,332,0,7,7
2020-08-05,Aceh,333,0,2,2
2020-08-06,Aceh,374,0,41,41
2020-08-07,Aceh,427,0,53,53
2020-08-08,Aceh,427,0,0,0
2020-08-09,Aceh,470,0,44,44
2020-08-10,Aceh,566,0,96,96
2020-08-11,Aceh,566,0,0,0
2020-08-12,Aceh,536,100,72,-28
2020-08-13,Aceh,535,0,0,0
2020-08-14,Aceh,625,0,92,92
2020-08-15,Aceh,648,0,25,25
2020-08-16,Aceh,659,0,11,11
2020-08-17,Aceh,827,0,168,168
2020-08-18,Aceh,850,0,25,25
2020-08-19,Aceh,913,0,63,63
2020-08-20,Aceh,918,0,5,5
2020-08-21,Aceh,920,0,4,4
2020-08-22,Aceh,990,0,70,70
2020-08-23,Aceh,988,0,0,0
2020-08-24,Aceh,1015,0,30,30
2020-08-25,Aceh,1032,0,20,20
2020-08-26,Aceh,1062,0,30,30
2020-08-27,Aceh,1170,0,108,108
2020-08-28,Aceh,1209,0,50,50
2020-08-29,Aceh,1300,0,97,97
2020-08-30,Aceh,1293,55,54,-1
2020-08-31,Aceh,1258,66,33,-33
2020-09-01,Aceh,1188,83,16,-67
2020-09-02,Aceh,1234,0,48,48
2020-09-03,Aceh,1319,8,97,89
2020-09-04,Aceh,1376,31,90,59
2020-09-05,Aceh,1435,0,61,61
2020-09-06,Aceh,1511,0,78,78
2020-09-07,Aceh,1527,0,19,19
2020-09-08,Aceh,1477,60,12,-48
2020-09-09,Aceh,1563,10,98,88
2020-09-10,Aceh,1667,0,106,106
2020-09-11,Aceh,1810,0,145,145
2020-09-12,Aceh,1934,0,124,124
2020-09-13,Aceh,2142,0,212,212
2020-09-14,Aceh,2238,52,153,101
2020-09-15,Aceh,2227,145,140,-5
2020-09-16,Aceh,1912,399,95,-304
2020-09-17,Aceh,2009,0,109,109
2020-09-18,Aceh,1962,160,116,-44
2020-09-19,Aceh,2093,44,175,131
2020-09-20,Aceh,2157,0,68,68
2020-09-21,Aceh,1878,376,99,-277
2020-09-22,Aceh,1869,94,91,-3
